Port# , Lane# , PRE3 , PRE2 , PRE , MAIN , POST , POST2
20,5,0,0,-12,143,-12,0
20,6,0,0,-4,139,-18,0
20,7,0,0,-14,106,0,0
20,8,0,0,-5,153,-5,0
21,1,0,0,0,157,-5,0
21,2,0,0,-11,121,0,0
21,3,0,0,-18,144,0,0
21,4,0,0,-8,145,-8,0
21,5,0,0,-4,142,-15,0
21,6,0,0,-11,133,-18,0
21,7,0,0,-17,117,-10,0
21,8,0,5,-10,111,-10,0
22,1,0,0,-11,136,-22,0
22,2,0,2,-12,135,-12,0
22,3,0,0,-4,152,-4,0
22,4,0,0,-9,148,-4,0
22,5,0,2,-12,138,-12,0
22,6,0,0,-18,126,-18,0
22,7,0,0,-4,148,-9,0
22,8,0,0,-4,151,-9,0
23,1,0,0,-13,146,-9,0
23,2,0,0,-16,139,-12,0
23,3,0,0,-9,154,-5,0
23,4,0,0,-20,133,-8,0
23,5,0,0,-4,142,-15,0
23,6,0,0,-14,148,0,0
23,7,0,0,-9,154,-5,0
23,8,0,0,-21,106,0,0
24,1,0,0,-8,145,-8,0
24,2,0,0,-12,143,-12,0
24,3,0,0,-19,131,-12,0
24,4,0,2,-10,131,-26,0
24,5,0,0,-18,143,0,0
24,6,0,0,-14,131,-24,0
24,7,0,0,-4,126,-4,0
24,8,0,0,-12,99,-24,0
25,1,0,4,-21,123,-14,0
25,2,0,0,-15,155,0,0
25,3,0,3,-9,121,-29,0
25,4,0,0,-5,157,0,0
25,5,0,0,-25,114,-22,0
25,6,0,0,-4,152,-4,0
25,7,0,0,-10,104,0,0
25,8,0,0,-20,122,-20,0
26,1,0,2,-16,122,0,0
26,2,0,0,0,161,0,0
26,3,0,0,-23,139,0,0
26,4,0,0,-4,152,-4,0
26,5,0,1,-14,117,-29,0
26,6,0,0,-5,152,-5,0
26,7,0,0,-23,139,0,0
26,8,0,0,-4,147,-4,0
27,1,0,0,0,136,-8,0
27,2,0,0,0,157,-5,0
27,3,0,0,-18,144,0,0
27,4,0,0,-10,158,0,0
27,5,0,0,-13,144,-4,0
27,6,0,0,0,163,-5,0
27,7,0,0,-12,143,-12,0
27,8,0,4,-4,135,-15,0
28,1,0,0,-14,153,0,0
28,2,0,0,-18,123,-11,0
28,3,0,0,0,149,-12,0
28,4,0,0,0,149,-12,0
28,5,0,0,-8,144,-8,0
28,6,0,0,-8,146,-12,0
28,7,0,0,-4,145,-19,0
28,8,0,0,-13,118,-16,0
29,1,0,0,0,157,-5,0
29,2,0,6,-12,140,-8,0
29,3,0,0,0,168,0,0
29,4,0,0,0,162,0,0
29,5,0,0,-14,154,0,0
29,6,0,0,-9,148,-4,0
29,7,0,0,0,152,-4,0
29,8,0,0,0,136,-8,0
30,1,0,2,-9,149,-9,0
30,2,0,0,-5,153,-5,0
30,3,0,4,-30,127,0,0
30,4,0,0,0,156,-5,0
30,5,0,0,-20,122,-20,0
30,6,0,0,-13,144,-4,0
30,7,0,0,-19,129,-11,0
30,8,0,0,0,156,-5,0
31,1,0,0,-22,137,0,0
31,2,0,0,-5,157,0,0
31,3,0,0,0,163,-5,0
31,4,0,0,-9,147,-9,0
31,5,0,0,-15,154,0,0
31,6,0,0,-17,115,-29,0
31,7,0,0,-19,131,-12,0
31,8,0,0,-8,100,-11,0
32,1,0,0,-28,140,0,0
32,2,0,0,-7,128,-7,0
32,3,0,0,-17,140,-4,0
32,4,0,0,-9,148,-4,0
32,5,0,0,-23,139,0,0
32,6,0,0,-12,136,-12,0
