Port# , Lane# , PRE3 , PRE2 , PRE , MAIN , POST , POST2
1,1,0,0,0,129,-18,0
1,2,0,5,-28,97,0,0
1,3,0,0,0,147,-20,0
1,4,0,0,0,111,0,0
1,5,0,0,0,132,-18,0
1,6,0,5,-28,98,0,0
1,7,0,0,0,123,0,0
1,8,0,1,-4,74,0,0
2,1,0,0,0,144,0,0
2,2,0,0,0,102,0,0
2,3,0,0,0,132,-18,0
2,4,0,4,-26,120,-7,0
2,5,0,0,0,143,0,0
2,6,0,4,-22,98,0,0
2,7,0,1,-6,130,-6,0
2,8,0,2,-9,57,0,0
3,1,0,0,0,136,0,0
3,2,0,0,0,137,-7,0
3,3,0,1,-7,139,0,0
3,4,0,1,-7,131,0,0
3,5,0,0,0,123,0,0
3,6,0,3,-21,93,0,0
3,7,0,1,-6,120,-6,0
3,8,0,1,-8,72,0,0
4,1,0,1,-5,104,-5,0
4,2,0,2,-11,104,0,0
4,3,0,0,0,116,0,0
4,4,0,3,-19,119,0,0
4,5,0,1,-6,125,0,0
4,6,0,2,-11,104,0,0
4,7,0,1,-6,113,-11,0
4,8,0,0,0,86,0,0
5,1,0,2,-9,87,0,0
5,2,0,3,-15,144,-8,0
5,3,0,0,0,102,0,0
5,4,0,0,0,147,-7,0
5,5,0,2,-11,112,-6,0
5,6,0,0,0,136,0,0
5,7,0,2,-10,101,-5,0
5,8,0,2,-15,92,0,0
6,1,0,2,-12,116,-6,0
6,2,0,3,-20,126,0,0
6,3,0,0,0,118,0,0
6,4,0,0,0,136,0,0
6,5,0,2,-15,90,0,0
6,6,0,2,-13,123,0,0
6,7,0,1,-3,65,0,0
6,8,0,0,0,112,0,0
7,1,0,2,-12,55,0,0
7,2,0,3,-16,100,0,0
7,3,0,2,-12,76,0,0
7,4,0,0,0,112,-5,0
7,5,0,0,0,95,0,0
7,6,0,3,-19,118,0,0
7,7,0,1,-4,77,0,0
7,8,0,0,0,100,0,0
8,1,0,0,0,59,0,0
8,2,0,0,0,150,0,0
8,3,0,1,-7,67,0,0
8,4,0,0,0,168,0,0
8,5,0,3,-16,56,0,0
8,6,0,1,-5,112,-11,0
8,7,0,0,0,58,0,0
8,8,0,0,0,160,0,0
9,1,0,0,0,138,0,0
9,2,0,3,-19,116,0,0
9,3,0,0,0,139,-31,0
9,4,0,0,0,141,0,0
9,5,0,1,-6,122,-28,0
9,6,0,3,-20,89,0,0
9,7,0,0,0,117,0,0
9,8,0,2,-12,55,0,0
10,1,0,0,0,103,-10,0
10,2,0,3,-16,101,0,0
10,3,0,2,-13,122,0,0
10,4,0,4,-22,98,0,0
10,5,0,0,0,119,-6,0
10,6,0,0,0,113,0,0
10,7,0,1,-6,122,-12,0
10,8,0,3,-19,88,0,0
11,1,0,0,0,113,-11,0
11,2,0,1,-6,120,-6,0
11,3,0,2,-13,122,0,0
11,4,0,3,-18,112,0,0
11,5,0,0,0,102,0,0
11,6,0,4,-23,104,0,0
11,7,0,0,0,92,0,0
11,8,0,0,0,103,-5,0
12,1,0,0,0,81,0,0
12,2,0,2,-14,84,0,0
12,3,0,2,-9,86,0,0
12,4,0,0,0,126,0,0
12,5,0,1,-4,80,0,0
12,6,0,3,-15,95,0,0
12,7,0,1,-7,67,0,0
12,8,0,1,-7,69,0,0
13,1,0,0,0,89,0,0
13,2,0,0,0,88,0,0
13,3,0,0,0,108,0,0
13,4,0,0,0,116,0,0
13,5,0,0,0,108,0,0
13,6,0,2,-13,125,-6,0
13,7,0,1,-4,77,0,0
13,8,0,0,0,122,0,0
14,1,0,1,-6,58,0,0
14,2,0,3,-16,98,0,0
14,3,0,1,-7,66,0,0
14,4,0,0,0,131,-6,0
14,5,0,1,-3,68,0,0
14,6,0,2,-12,110,0,0
14,7,0,1,-9,54,0,0
14,8,0,0,0,81,0,0
15,1,0,2,-12,53,0,0
15,2,0,1,-5,88,0,0
15,3,0,2,-10,59,0,0
15,4,0,3,-17,106,0,0
15,5,0,2,-11,68,0,0
15,6,0,2,-13,121,0,0
15,7,0,1,-4,73,0,0
15,8,0,0,0,108,0,0
16,1,0,1,-9,55,0,0
16,2,0,0,0,123,-6,0
16,3,0,0,0,67,0,0
16,4,0,0,0,122,-22,0
16,5,0,2,-15,66,0,0
16,6,0,0,0,123,-27,0
16,7,0,0,0,63,0,0
16,8,0,0,0,93,-5,0
17,1,0,0,0,129,-6,0
17,2,0,2,-11,108,0,0
17,3,0,0,0,129,-23,0
17,4,0,0,0,135,0,0
17,5,0,3,-16,149,0,0
17,6,0,0,0,129,0,0
17,7,0,0,0,109,-5,0
17,8,0,0,0,84,0,0
18,1,0,0,0,130,0,0
18,2,0,0,0,119,0,0
18,3,0,0,0,139,-19,0
18,4,0,4,-23,103,0,0
18,5,0,0,0,131,-6,0
18,6,0,1,-5,105,0,0
18,7,0,0,0,105,-5,0
18,8,0,3,-17,78,0,0
19,1,0,0,0,102,0,0
19,2,0,2,-11,108,-6,0
19,3,0,3,-16,99,0,0
19,4,0,4,-23,103,0,0
19,5,0,0,0,92,0,0
19,6,0,0,0,108,0,0
19,7,0,1,-9,83,0,0
19,8,0,2,-14,84,0,0
20,1,0,2,-12,111,0,0
20,2,0,0,0,119,0,0
20,3,0,0,0,126,0,0
20,4,0,2,-11,109,0,0
20,5,0,3,-19,84,0,0
20,6,0,1,-5,98,0,0
20,7,0,0,0,61,0,0
20,8,0,3,-17,76,0,0
21,1,0,1,-7,70,0,0
21,2,0,4,-22,97,0,0
21,3,0,1,-5,88,0,0
21,4,0,0,0,140,-7,0
21,5,0,2,-10,62,0,0
21,6,0,3,-16,96,0,0
21,7,0,1,-8,47,0,0
21,8,0,1,-3,66,0,0
22,1,0,0,0,65,0,0
22,2,0,0,0,110,0,0
22,3,0,2,-15,66,0,0
22,4,0,3,-17,106,0,0
22,5,0,1,-6,57,0,0
22,6,0,0,0,115,0,0
22,7,0,1,-8,51,0,0
22,8,0,0,0,97,-5,0
23,1,0,0,-3,52,0,0
23,2,0,3,-18,110,0,0
23,3,0,1,-9,53,0,0
23,4,0,0,0,142,0,0
23,5,0,1,-8,50,0,0
23,6,0,0,0,110,0,0
23,7,0,0,0,57,0,0
23,8,0,0,0,72,-3,0
24,1,0,2,-11,49,0,0
24,2,0,1,-6,119,-6,0
24,3,0,0,-3,58,0,0
24,4,0,0,0,116,-21,0
24,5,0,3,-15,52,0,0
24,6,0,0,0,123,-27,0
24,7,0,0,0,51,0,0
24,8,0,0,0,97,-5,0
25,1,0,1,-5,91,-5,0
25,2,0,4,-26,117,0,0
25,3,0,0,0,118,-6,0
25,4,0,4,-27,122,0,0
25,5,0,2,-12,117,-6,0
25,6,0,3,-16,101,0,0
25,7,0,0,0,91,-4,0
25,8,0,2,-12,76,0,0
26,1,0,0,0,86,0,0
26,2,0,5,-28,99,0,0
26,3,0,1,-5,109,-5,0
26,4,0,3,-17,105,0,0
26,5,0,0,0,113,0,0
26,6,0,4,-22,98,0,0
26,7,0,1,-5,105,0,0
26,8,0,2,-14,88,0,0
27,1,0,1,-4,76,0,0
27,2,0,5,-29,100,0,0
27,3,0,2,-11,104,0,0
27,4,0,4,-23,103,0,0
27,5,0,2,-10,91,0,0
