Port# , Lane# , PRE3 , PRE2 , PRE , MAIN , POST , POST2
1,1,0,0,-17,125,-17,0
1,2,0,0,-27,139,0,0
1,3,0,0,-14,130,-24,0
1,4,0,0,-8,149,-13,0
1,5,0,4,-22,129,-15,0
1,6,0,0,-14,153,0,0
1,7,0,6,-30,119,-8,0
1,8,0,4,-9,101,-9,0
2,1,0,0,-18,130,-18,0
2,2,0,0,-6,113,-12,0
2,3,0,0,-23,143,0,0
2,4,0,0,-9,153,-5,0
2,5,0,0,-24,146,0,0
2,6,0,0,-14,146,0,0
2,7,0,2,-22,127,-15,0
2,8,0,0,-16,94,-11,0
3,1,0,0,-13,123,-20,0
3,2,0,0,-14,153,0,0
3,3,0,0,-18,131,-18,0
3,4,0,0,0,153,-13,0
3,5,0,5,-14,128,-21,0
3,6,0,0,-5,158,-5,0
3,7,0,0,-18,131,-18,0
3,8,0,2,0,127,-4,0
4,1,0,0,-9,153,-5,0
4,2,0,0,-7,127,-7,0
4,3,0,0,-21,140,-9,0
4,4,0,0,-23,143,0,0
4,5,0,0,-12,142,-12,0
4,6,0,0,-13,147,-4,0
4,7,0,0,-11,136,-19,0
4,8,0,1,-14,100,-14,0
5,1,0,2,-7,134,-21,0
5,2,0,2,-16,136,-12,0
5,3,0,6,-11,135,-15,0
5,4,0,0,-19,133,-15,0
5,5,0,0,-18,145,-4,0
5,6,0,4,-21,124,-18,0
5,7,0,0,-22,137,0,0
5,8,0,5,-21,107,0,0
6,1,0,5,-11,132,-18,0
6,2,0,0,-28,139,0,0
6,3,0,2,-23,142,0,0
6,4,0,0,-18,130,-18,0
6,5,0,0,-9,150,-9,0
6,6,0,0,-19,132,-15,0
6,7,0,0,-9,100,-9,0
6,8,0,3,-6,112,-22,0
7,1,0,2,-12,140,-12,0
7,2,0,0,-28,139,0,0
7,3,0,0,-4,153,-9,0
7,4,0,0,-22,143,-4,0
7,5,0,0,0,158,-9,0
7,6,0,0,-18,131,-18,0
7,7,0,0,0,154,-13,0
7,8,0,4,-12,109,-18,0
8,1,0,0,-18,124,-11,0
8,2,0,5,-27,107,-7,0
8,3,0,0,-5,157,-5,0
8,4,0,5,-22,125,-15,0
8,5,0,0,-5,157,-5,0
8,6,0,5,-22,125,-15,0
8,7,0,5,-7,125,-20,0
8,8,0,0,-18,129,-21,0
9,1,0,0,-14,126,-17,0
9,2,0,0,0,155,-9,0
9,3,0,0,-14,131,-21,0
9,4,0,0,-10,157,0,0
9,5,0,0,-22,128,-15,0
9,6,0,0,-8,148,-13,0
9,7,0,3,-21,117,-14,0
9,8,0,0,0,131,0,0
10,1,0,2,-20,107,-7,0
10,2,0,0,-19,147,0,0
10,3,0,0,-13,129,-24,0
10,4,0,0,0,162,-5,0
10,5,0,0,-23,143,0,0
10,6,0,0,0,150,-16,0
10,7,0,4,-22,126,-15,0
10,8,0,0,0,164,0,0
11,1,0,0,-11,130,-11,0
11,2,0,0,-10,157,0,0
11,3,0,0,-15,134,-18,0
11,4,0,0,-9,149,-9,0
11,5,0,0,-15,134,-18,0
11,6,0,0,-5,157,-5,0
11,7,0,0,-20,135,-12,0
11,8,0,0,-4,125,-4,0
12,1,0,0,-9,150,-9,0
12,2,0,0,-4,141,-4,0
12,3,0,0,-23,143,0,0
12,4,0,0,0,154,-13,0
12,5,0,0,-14,148,-5,0
12,6,0,0,-21,137,-8,0
12,7,0,0,-10,131,-26,0
12,8,0,0,-7,134,-26,0
13,1,0,0,-13,140,0,0
13,2,0,0,0,143,-4,0
13,3,0,0,-18,144,-4,0
13,4,0,0,-14,152,0,0
13,5,0,6,-20,133,-8,0
13,6,0,0,-17,141,-8,0
13,7,0,0,-24,124,-4,0
13,8,0,0,-6,112,-22,0
14,1,0,0,-11,115,-4,0
14,2,0,0,-19,147,0,0
14,3,0,0,-5,157,-5,0
14,4,0,0,-14,148,-5,0
14,5,0,0,-21,137,-8,0
14,6,0,0,-11,139,-19,0
14,7,0,0,-4,150,-13,0
14,8,0,0,-16,99,-3,0
15,1,0,0,-10,121,-10,0
15,2,0,0,-18,139,0,0
15,3,0,0,-19,130,-12,0
15,4,0,0,-21,137,-8,0
15,5,0,0,-4,147,-16,0
15,6,0,0,-14,133,-21,0
15,7,0,0,-8,140,-19,0
15,8,0,1,-14,99,-14,0
16,1,0,0,-7,130,-11,0
16,2,0,0,-28,139,0,0
16,3,0,0,-11,135,-21,0
16,4,0,0,-21,126,-18,0
16,5,0,0,-22,128,-15,0
16,6,0,2,-32,125,-8,0
16,7,0,0,-13,105,0,0
16,8,0,4,-15,105,-15,0
17,1,0,0,-18,130,-18,0
17,2,0,0,-12,132,-8,0
17,3,0,0,-23,144,0,0
17,4,0,0,-14,152,0,0
17,5,0,0,-22,129,-15,0
17,6,0,0,-10,131,-26,0
17,7,0,0,-23,96,0,0
17,8,0,0,-11,100,-11,0
18,1,0,0,-13,133,0,0
18,2,0,0,0,166,0,0
18,3,0,0,-22,140,-4,0
18,4,0,0,0,166,0,0
18,5,0,0,-10,133,-27,0
18,6,0,0,0,162,-5,0
18,7,0,2,-9,124,-25,0
18,8,0,0,-4,143,-16,0
19,1,0,0,-15,104,-12,0
19,2,0,0,-4,152,-9,0
19,3,0,0,-23,144,0,0
19,4,0,0,-14,152,0,0
19,5,0,2,-17,127,-21,0
19,6,0,0,-5,157,-5,0
19,7,0,0,-23,129,-15,0
19,8,0,0,0,145,-16,0
20,1,0,6,-21,134,-4,0
20,2,0,0,-5,163,0,0
20,3,0,0,-14,148,-5,0
20,4,0,0,-5,157,-5,0
