chipId,name,value
0,lane_to_serdes_map_fabric_lane310,rx110:tx105
0,lane_to_serdes_map_fabric_lane311,rx111:tx106
0,lane_to_serdes_map_fabric_lane56,rx112:tx116
0,lane_to_serdes_map_fabric_lane57,rx113:tx117
0,lane_to_serdes_map_fabric_lane58,rx114:tx118
0,lane_to_serdes_map_fabric_lane59,rx115:tx119
0,lane_to_serdes_map_fabric_lane312,rx116:tx112
0,lane_to_serdes_map_fabric_lane313,rx117:tx113
0,lane_to_serdes_map_fabric_lane314,rx118:tx114
0,lane_to_serdes_map_fabric_lane315,rx119:tx115
0,lane_to_serdes_map_fabric_lane60,rx120:tx124
0,lane_to_serdes_map_fabric_lane61,rx121:tx125
0,lane_to_serdes_map_fabric_lane62,rx122:tx126
0,lane_to_serdes_map_fabric_lane63,rx123:tx127
0,lane_to_serdes_map_fabric_lane316,rx124:tx120
0,lane_to_serdes_map_fabric_lane317,rx125:tx121
0,lane_to_serdes_map_fabric_lane318,rx126:tx122
0,lane_to_serdes_map_fabric_lane319,rx127:tx123
0,lane_to_serdes_map_fabric_lane64,rx128:tx135
0,lane_to_serdes_map_fabric_lane65,rx129:tx132
0,lane_to_serdes_map_fabric_lane66,rx130:tx133
0,lane_to_serdes_map_fabric_lane67,rx131:tx134
0,lane_to_serdes_map_fabric_lane320,rx132:tx131
0,lane_to_serdes_map_fabric_lane321,rx133:tx128
0,lane_to_serdes_map_fabric_lane322,rx134:tx129
0,lane_to_serdes_map_fabric_lane323,rx135:tx130
0,lane_to_serdes_map_fabric_lane68,rx136:tx143
0,lane_to_serdes_map_fabric_lane69,rx137:tx140
0,lane_to_serdes_map_fabric_lane70,rx138:tx141
0,lane_to_serdes_map_fabric_lane71,rx139:tx142
0,lane_to_serdes_map_fabric_lane324,rx140:tx139
0,lane_to_serdes_map_fabric_lane325,rx141:tx136
0,lane_to_serdes_map_fabric_lane326,rx142:tx137
0,lane_to_serdes_map_fabric_lane327,rx143:tx138
0,lane_to_serdes_map_fabric_lane72,rx144:tx148
0,lane_to_serdes_map_fabric_lane73,rx145:tx149
0,lane_to_serdes_map_fabric_lane74,rx146:tx150
0,lane_to_serdes_map_fabric_lane75,rx147:tx151
0,lane_to_serdes_map_fabric_lane328,rx148:tx144
0,lane_to_serdes_map_fabric_lane329,rx149:tx145
0,lane_to_serdes_map_fabric_lane330,rx150:tx146
0,lane_to_serdes_map_fabric_lane331,rx151:tx147
0,lane_to_serdes_map_fabric_lane76,rx152:tx156
0,lane_to_serdes_map_fabric_lane77,rx153:tx157
0,lane_to_serdes_map_fabric_lane78,rx154:tx158
0,lane_to_serdes_map_fabric_lane79,rx155:tx159
0,lane_to_serdes_map_fabric_lane332,rx156:tx152
0,lane_to_serdes_map_fabric_lane333,rx157:tx153
0,lane_to_serdes_map_fabric_lane334,rx158:tx154
0,lane_to_serdes_map_fabric_lane335,rx159:tx155
0,lane_to_serdes_map_fabric_lane80,rx160:tx167
