Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID
462,462,fab1/102/4,36-37-41-42,,,1
2102,54,fab1/102/5,36-37-41-42,,,2
202,202,fab1/102/6,36-37-41-42,,,0
2358,310,fab1/102/7,36-37-41-42,,,3
458,458,fab1/102/8,36-37-41-42,,,1
2107,59,fab1/103/1,36-37-41-42,,,2
199,199,fab1/103/2,36-37-41-42,,,0
2363,315,fab1/103/3,36-37-41-42,,,3
455,455,fab1/103/4,36-37-41-42,,,1
2111,63,fab1/103/5,36-37-41-42,,,2
195,195,fab1/103/6,36-37-41-42,,,0
2367,319,fab1/103/7,36-37-41-42,,,3
451,451,fab1/103/8,36-37-41-42,,,1
2099,51,fab1/104/1,36-37-41-42,,,2
207,207,fab1/104/2,36-37-41-42,,,0
2355,307,fab1/104/3,36-37-41-42,,,3
463,463,fab1/104/4,36-37-41-42,,,1
2103,55,fab1/104/5,36-37-41-42,,,2
203,203,fab1/104/6,36-37-41-42,,,0
2359,311,fab1/104/7,36-37-41-42,,,3
459,459,fab1/104/8,36-37-41-42,,,1
2344,296,fab1/105/1,36-37-41-42,,,3
468,468,fab1/105/2,36-37-41-42,,,1
2088,40,fab1/105/3,36-37-41-42,,,2
212,212,fab1/105/4,36-37-41-42,,,0
2348,300,fab1/105/5,36-37-41-42,,,3
464,464,fab1/105/6,36-37-41-42,,,1
2092,44,fab1/105/7,36-37-41-42,,,2
208,208,fab1/105/8,36-37-41-42,,,0
2336,288,fab1/106/1,36-37-41-42,,,3
476,476,fab1/106/2,36-37-41-42,,,1
2080,32,fab1/106/3,36-37-41-42,,,2
220,220,fab1/106/4,36-37-41-42,,,0
2340,292,fab1/106/5,36-37-41-42,,,3
472,472,fab1/106/6,36-37-41-42,,,1
2084,36,fab1/106/7,36-37-41-42,,,2
216,216,fab1/106/8,36-37-41-42,,,0
2345,297,fab1/107/1,36-37-41-42,,,3
469,469,fab1/107/2,36-37-41-42,,,1
2089,41,fab1/107/3,36-37-41-42,,,2
213,213,fab1/107/4,36-37-41-42,,,0
2349,301,fab1/107/5,36-37-41-42,,,3
465,465,fab1/107/6,36-37-41-42,,,1
2093,45,fab1/107/7,36-37-41-42,,,2
209,209,fab1/107/8,36-37-41-42,,,0
2337,289,fab1/108/1,36-37-41-42,,,3
477,477,fab1/108/2,36-37-41-42,,,1
2081,33,fab1/108/3,36-37-41-42,,,2
221,221,fab1/108/4,36-37-41-42,,,0
2341,293,fab1/108/5,36-37-41-42,,,3
473,473,fab1/108/6,36-37-41-42,,,1
2085,37,fab1/108/7,36-37-41-42,,,2
217,217,fab1/108/8,36-37-41-42,,,0
2090,42,fab1/109/1,36-37-41-42,,,2
214,214,fab1/109/2,36-37-41-42,,,0
2346,298,fab1/109/3,36-37-41-42,,,3
470,470,fab1/109/4,36-37-41-42,,,1
2094,46,fab1/109/5,36-37-41-42,,,2
210,210,fab1/109/6,36-37-41-42,,,0
2350,302,fab1/109/7,36-37-41-42,,,3
466,466,fab1/109/8,36-37-41-42,,,1
2082,34,fab1/110/1,36-37-41-42,,,2
222,222,fab1/110/2,36-37-41-42,,,0
2338,290,fab1/110/3,36-37-41-42,,,3
478,478,fab1/110/4,36-37-41-42,,,1
2086,38,fab1/110/5,36-37-41-42,,,2
218,218,fab1/110/6,36-37-41-42,,,0
2342,294,fab1/110/7,36-37-41-42,,,3
474,474,fab1/110/8,36-37-41-42,,,1
2091,43,fab1/111/1,36-37-41-42,,,2
215,215,fab1/111/2,36-37-41-42,,,0
2347,299,fab1/111/3,36-37-41-42,,,3
471,471,fab1/111/4,36-37-41-42,,,1
2095,47,fab1/111/5,36-37-41-42,,,2
211,211,fab1/111/6,36-37-41-42,,,0
2351,303,fab1/111/7,36-37-41-42,,,3
467,467,fab1/111/8,36-37-41-42,,,1
2083,35,fab1/112/1,36-37-41-42,,,2
223,223,fab1/112/2,36-37-41-42,,,0
2339,291,fab1/112/3,36-37-41-42,,,3
479,479,fab1/112/4,36-37-41-42,,,1
2087,39,fab1/112/5,36-37-41-42,,,2
219,219,fab1/112/6,36-37-41-42,,,0
2343,295,fab1/112/7,36-37-41-42,,,3
475,475,fab1/112/8,36-37-41-42,,,1
2328,280,fab1/113/1,36-37-41-42,,,3
484,484,fab1/113/2,36-37-41-42,,,1
2072,24,fab1/113/3,36-37-41-42,,,2
228,228,fab1/113/4,36-37-41-42,,,0
2332,284,fab1/113/5,36-37-41-42,,,3
480,480,fab1/113/6,36-37-41-42,,,1
2076,28,fab1/113/7,36-37-41-42,,,2
224,224,fab1/113/8,36-37-41-42,,,0
2320,272,fab1/114/1,36-37-41-42,,,3
492,492,fab1/114/2,36-37-41-42,,,1
2064,16,fab1/114/3,36-37-41-42,,,2
236,236,fab1/114/4,36-37-41-42,,,0
2324,276,fab1/114/5,36-37-41-42,,,3
488,488,fab1/114/6,36-37-41-42,,,1
2068,20,fab1/114/7,36-37-41-42,,,2
232,232,fab1/114/8,36-37-41-42,,,0
2329,281,fab1/115/1,36-37-41-42,,,3
485,485,fab1/115/2,36-37-41-42,,,1
2073,25,fab1/115/3,36-37-41-42,,,2
229,229,fab1/115/4,36-37-41-42,,,0
2333,285,fab1/115/5,36-37-41-42,,,3
481,481,fab1/115/6,36-37-41-42,,,1
2077,29,fab1/115/7,36-37-41-42,,,2
225,225,fab1/115/8,36-37-41-42,,,0
2321,273,fab1/116/1,36-37-41-42,,,3
493,493,fab1/116/2,36-37-41-42,,,1
2065,17,fab1/116/3,36-37-41-42,,,2
237,237,fab1/116/4,36-37-41-42,,,0
2325,277,fab1/116/5,36-37-41-42,,,3
489,489,fab1/116/6,36-37-41-42,,,1
2069,21,fab1/116/7,36-37-41-42,,,2
233,233,fab1/116/8,36-37-41-42,,,0
2074,26,fab1/117/1,36-37-41-42,,,2
230,230,fab1/117/2,36-37-41-42,,,0
2330,282,fab1/117/3,36-37-41-42,,,3
486,486,fab1/117/4,36-37-41-42,,,1
2078,30,fab1/117/5,36-37-41-42,,,2
226,226,fab1/117/6,36-37-41-42,,,0
2334,286,fab1/117/7,36-37-41-42,,,3
482,482,fab1/117/8,36-37-41-42,,,1
2066,18,fab1/118/1,36-37-41-42,,,2
238,238,fab1/118/2,36-37-41-42,,,0
2322,274,fab1/118/3,36-37-41-42,,,3
494,494,fab1/118/4,36-37-41-42,,,1
2070,22,fab1/118/5,36-37-41-42,,,2
234,234,fab1/118/6,36-37-41-42,,,0
2326,278,fab1/118/7,36-37-41-42,,,3
490,490,fab1/118/8,36-37-41-42,,,1
2075,27,fab1/119/1,36-37-41-42,,,2
231,231,fab1/119/2,36-37-41-42,,,0
2331,283,fab1/119/3,36-37-41-42,,,3
487,487,fab1/119/4,36-37-41-42,,,1
2079,31,fab1/119/5,36-37-41-42,,,2
227,227,fab1/119/6,36-37-41-42,,,0
2335,287,fab1/119/7,36-37-41-42,,,3
483,483,fab1/119/8,36-37-41-42,,,1
2067,19,fab1/120/1,36-37-41-42,,,2
239,239,fab1/120/2,36-37-41-42,,,0
2323,275,fab1/120/3,36-37-41-42,,,3
495,495,fab1/120/4,36-37-41-42,,,1
2071,23,fab1/120/5,36-37-41-42,,,2
235,235,fab1/120/6,36-37-41-42,,,0
2327,279,fab1/120/7,36-37-41-42,,,3
491,491,fab1/120/8,36-37-41-42,,,1
2312,264,fab1/121/1,36-37-41-42,,,3
500,500,fab1/121/2,36-37-41-42,,,1
2058,10,fab1/121/3,36-37-41-42,,,2
246,246,fab1/121/4,36-37-41-42,,,0
2316,268,fab1/121/5,36-37-41-42,,,3
496,496,fab1/121/6,36-37-41-42,,,1
2062,14,fab1/121/7,36-37-41-42,,,2
242,242,fab1/121/8,36-37-41-42,,,0
2304,256,fab1/122/1,36-37-41-42,,,3
508,508,fab1/122/2,36-37-41-42,,,1
