1,1,rcy1/1/55,11,0,1
1093,1093,fab1/1/1,36-37-41-42,,
1089,1089,fab1/1/2,36-37-41-42,,
1088,1088,fab1/1/3,36-37-41-42,,
1091,1091,fab1/1/4,36-37-41-42,,
1092,1092,fab1/1/5,36-37-41-42,,
1090,1090,fab1/1/6,36-37-41-42,,
1094,1094,fab1/1/7,36-37-41-42,,
1095,1095,fab1/1/8,36-37-41-42,,
1096,1096,fab1/2/1,36-37-41-42,,
1103,1103,fab1/2/2,36-37-41-42,,
1098,1098,fab1/2/3,36-37-41-42,,
1097,1097,fab1/2/4,36-37-41-42,,
1100,1100,fab1/2/5,36-37-41-42,,
1101,1101,fab1/2/6,36-37-41-42,,
1102,1102,fab1/2/7,36-37-41-42,,
1099,1099,fab1/2/8,36-37-41-42,,
1080,1080,fab1/3/1,36-37-41-42,,
1081,1081,fab1/3/2,36-37-41-42,,
1082,1082,fab1/3/3,36-37-41-42,,
1083,1083,fab1/3/4,36-37-41-42,,
1084,1084,fab1/3/5,36-37-41-42,,
1085,1085,fab1/3/6,36-37-41-42,,
1086,1086,fab1/3/7,36-37-41-42,,
1087,1087,fab1/3/8,36-37-41-42,,
1074,1074,fab1/4/1,36-37-41-42,,
1075,1075,fab1/4/2,36-37-41-42,,
1072,1072,fab1/4/3,36-37-41-42,,
1073,1073,fab1/4/4,36-37-41-42,,
1076,1076,fab1/4/5,36-37-41-42,,
1077,1077,fab1/4/6,36-37-41-42,,
1078,1078,fab1/4/7,36-37-41-42,,
1079,1079,fab1/4/8,36-37-41-42,,
1070,1070,fab1/5/1,36-37-41-42,,
1071,1071,fab1/5/2,36-37-41-42,,
1069,1069,fab1/5/3,36-37-41-42,,
1065,1065,fab1/5/4,36-37-41-42,,
1068,1068,fab1/5/5,36-37-41-42,,
1066,1066,fab1/5/6,36-37-41-42,,
1064,1064,fab1/5/7,36-37-41-42,,
1067,1067,fab1/5/8,36-37-41-42,,
1061,1061,fab1/6/1,36-37-41-42,,
1063,1063,fab1/6/2,36-37-41-42,,
1062,1062,fab1/6/3,36-37-41-42,,
1057,1057,fab1/6/4,36-37-41-42,,
1060,1060,fab1/6/5,36-37-41-42,,
1058,1058,fab1/6/6,36-37-41-42,,
1056,1056,fab1/6/7,36-37-41-42,,
1059,1059,fab1/6/8,36-37-41-42,,
1048,1048,fab1/7/1,36-37-41-42,,
1049,1049,fab1/7/2,36-37-41-42,,
1050,1050,fab1/7/3,36-37-41-42,,
1051,1051,fab1/7/4,36-37-41-42,,
1052,1052,fab1/7/5,36-37-41-42,,
1053,1053,fab1/7/6,36-37-41-42,,
1054,1054,fab1/7/7,36-37-41-42,,
1055,1055,fab1/7/8,36-37-41-42,,
1042,1042,fab1/8/1,36-37-41-42,,
1043,1043,fab1/8/2,36-37-41-42,,
1040,1040,fab1/8/3,36-37-41-42,,
1041,1041,fab1/8/4,36-37-41-42,,
1044,1044,fab1/8/5,36-37-41-42,,
1045,1045,fab1/8/6,36-37-41-42,,
1046,1046,fab1/8/7,36-37-41-42,,
1047,1047,fab1/8/8,36-37-41-42,,
1034,1034,fab1/9/1,36-37-41-42,,
1033,1033,fab1/9/2,36-37-41-42,,
1032,1032,fab1/9/3,36-37-41-42,,
1039,1039,fab1/9/4,36-37-41-42,,
1035,1035,fab1/9/5,36-37-41-42,,
1038,1038,fab1/9/6,36-37-41-42,,
1037,1037,fab1/9/7,36-37-41-42,,
1036,1036,fab1/9/8,36-37-41-42,,
