TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
32,1 2 3 4,1,32,CPLD,/run/devmap/xcvrs/xcvr_ctrl_32/xcvr32_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_32/xcvr32_present,1,0,32,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS6_CH7,63,/sys/class/leds/port32_led1:blue:status,/sys/class/leds/port32_led1:yellow:status
32,1 2 3 4,1,32,CPLD,/run/devmap/xcvrs/xcvr_ctrl_32/xcvr32_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_32/xcvr32_present,1,0,32,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS6_CH7,64,/sys/class/leds/port32_led2:blue:status,/sys/class/leds/port32_led2:yellow:status
33,1 2 3 4,1,33,CPLD,/run/devmap/xcvrs/xcvr_ctrl_33/xcvr33_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_33/xcvr33_present,1,0,33,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH0,65,/sys/class/leds/port33_led1:blue:status,/sys/class/leds/port33_led1:yellow:status
33,1 2 3 4,1,33,CPLD,/run/devmap/xcvrs/xcvr_ctrl_33/xcvr33_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_33/xcvr33_present,1,0,33,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH0,66,/sys/class/leds/port33_led2:blue:status,/sys/class/leds/port33_led2:yellow:status
34,1 2 3 4,1,34,CPLD,/run/devmap/xcvrs/xcvr_ctrl_34/xcvr34_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_34/xcvr34_present,1,0,34,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH1,67,/sys/class/leds/port34_led1:blue:status,/sys/class/leds/port34_led1:yellow:status
34,1 2 3 4,1,34,CPLD,/run/devmap/xcvrs/xcvr_ctrl_34/xcvr34_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_34/xcvr34_present,1,0,34,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH1,68,/sys/class/leds/port34_led2:blue:status,/sys/class/leds/port34_led2:yellow:status
35,1 2 3 4,1,35,CPLD,/run/devmap/xcvrs/xcvr_ctrl_35/xcvr35_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_35/xcvr35_present,1,0,35,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH2,69,/sys/class/leds/port35_led1:blue:status,/sys/class/leds/port35_led1:yellow:status
35,1 2 3 4,1,35,CPLD,/run/devmap/xcvrs/xcvr_ctrl_35/xcvr35_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_35/xcvr35_present,1,0,35,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH2,70,/sys/class/leds/port35_led2:blue:status,/sys/class/leds/port35_led2:yellow:status
36,1 2 3 4,1,36,CPLD,/run/devmap/xcvrs/xcvr_ctrl_36/xcvr36_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_36/xcvr36_present,1,0,36,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH3,71,/sys/class/leds/port36_led1:blue:status,/sys/class/leds/port36_led1:yellow:status
36,1 2 3 4,1,36,CPLD,/run/devmap/xcvrs/xcvr_ctrl_36/xcvr36_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_36/xcvr36_present,1,0,36,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH3,72,/sys/class/leds/port36_led2:blue:status,/sys/class/leds/port36_led2:yellow:status
37,1 2 3 4,1,37,CPLD,/run/devmap/xcvrs/xcvr_ctrl_37/xcvr37_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_37/xcvr37_present,1,0,37,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH4,73,/sys/class/leds/port37_led1:blue:status,/sys/class/leds/port37_led1:yellow:status
37,1 2 3 4,1,37,CPLD,/run/devmap/xcvrs/xcvr_ctrl_37/xcvr37_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_37/xcvr37_present,1,0,37,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH4,74,/sys/class/leds/port37_led2:blue:status,/sys/class/leds/port37_led2:yellow:status
38,1 2 3 4,1,38,CPLD,/run/devmap/xcvrs/xcvr_ctrl_38/xcvr38_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_38/xcvr38_present,1,0,38,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH5,75,/sys/class/leds/port38_led1:blue:status,/sys/class/leds/port38_led1:yellow:status
38,1 2 3 4,1,38,CPLD,/run/devmap/xcvrs/xcvr_ctrl_38/xcvr38_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_38/xcvr38_present,1,0,38,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH5,76,/sys/class/leds/port38_led2:blue:status,/sys/class/leds/port38_led2:yellow:status
39,1 2 3 4,1,39,CPLD,/run/devmap/xcvrs/xcvr_ctrl_39/xcvr39_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_39/xcvr39_present,1,0,39,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH6,77,/sys/class/leds/port39_led1:blue:status,/sys/class/leds/port39_led1:yellow:status
39,1 2 3 4,1,39,CPLD,/run/devmap/xcvrs/xcvr_ctrl_39/xcvr39_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_39/xcvr39_present,1,0,39,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH6,78,/sys/class/leds/port39_led2:blue:status,/sys/class/leds/port39_led2:yellow:status
40,1 2 3 4,1,40,CPLD,/run/devmap/xcvrs/xcvr_ctrl_40/xcvr40_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_40/xcvr40_present,1,0,40,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH7,79,/sys/class/leds/port40_led1:blue:status,/sys/class/leds/port40_led1:yellow:status
40,1 2 3 4,1,40,CPLD,/run/devmap/xcvrs/xcvr_ctrl_40/xcvr40_reset,1,0,/run/devmap/xcvrs/xcvr_ctrl_40/xcvr40_present,1,0,40,I2C,/run/devmap/i2c-busses/MERU800BIA_SMB_FPGA_SMBUS7_CH7,80,/sys/class/leds/port40_led2:blue:status,/sys/class/leds/port40_led2:yellow:status
